100
0 1,078471
1 3,604386
2 4,964063
3 2,833961
4 0,020901
5 0,180807
6 2,736669
7 4,617714
8 2,289728
9 0,775658
10 2,266457
11 3,911120
12 3,703702
13 2,545944
14 2,336922
15 4,857308
16 1,800109
17 3,525453
18 4,058227
19 1,281314
20 4,880326
21 1,352827
22 3,253157
23 2,389849
24 2,114351
25 3,168973
26 2,949869
27 3,344261
28 4,920089
29 4,865894
30 3,584708
31 3,458828
32 4,945825
33 1,737370
34 3,674554
35 3,931960
36 0,034751
37 1,639796
38 3,125024
39 1,228437
40 3,965412
41 3,035446
42 2,308135
43 0,739862
44 3,546347
45 1,792782
46 0,583394
47 4,041660
48 1,630151
49 2,656915
50 3,015449
51 0,712799
52 0,712630
53 2,691534
54 1,828516
55 0,203817
56 4,236047
57 3,310565
58 2,254696
59 3,935502
60 4,339036
61 4,358287
62 4,205337
63 2,630936
64 2,235032
65 4,920946
66 1,900017
67 1,664441
68 2,379711
69 1,537015
70 1,708030
71 4,929884
72 2,157760
73 0,358858
74 1,926946
75 2,755935
76 0,610025
77 1,762718
78 0,679676
79 0,735962
80 2,191952
81 2,329729
82 0,146247
83 0,894817
84 4,239147
85 1,966307
86 0,753142
87 0,423731
88 0,580270
89 4,902110
90 0,968708
91 2,708682
92 2,023615
93 0,117323
94 0,947886
95 3,628096
96 4,522189
97 4,393830
98 2,336789
99 4,064598
